,Uri,Name
0,http://www.edamam.com/ontologies/edamam.owl#recipe_03d5468f8040446ab6ff1ebaf7005db4,vegetable oil beef tenderloin
1,http://www.edamam.com/ontologies/edamam.owl#recipe_13330bbb36e1b5e38cab7104e95eae82,garlic Kosher salt green cabbage oil white onion pastrami can diced tomatoes white vinegar light brown sugar
2,http://www.edamam.com/ontologies/edamam.owl#recipe_2409975f8963425abdc562d7a19c8301,Salt Cream Cheese sour cream Jack cheese Cilantro Jalapeno cottage cheese
3,http://www.edamam.com/ontologies/edamam.owl#recipe_25c588c5801c4b2694bed417b40a120e,flour sugar unsalted butter egg yolks
4,http://www.edamam.com/ontologies/edamam.owl#recipe_3177e127c7a94cb4aad17a3bca47e79d,bread flour yeast bread flour yeast
5,http://www.edamam.com/ontologies/edamam.owl#recipe_32462a95f7004d17dcbe7cfc4cf6941f,garlic Salt parsley dry white wine lemon extra virgin olive oil sourdough bread plum tomatoes
6,http://www.edamam.com/ontologies/edamam.owl#recipe_6bc87bcf574a4a0292c30d3aa34fde41,garlic Kosher salt black pepper extra-virgin olive oil onion mozzarella cheese sausage meat whole tomatoes pepperoni spaghetti
7,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,black peppercorns coriander seed fennel seed cumin red pepper flakes dried oregano garlic canola oil flap meat Kosher salt
8,http://www.edamam.com/ontologies/edamam.owl#recipe_7d9b74eaccc54ff29819247838284766,tomatoes garlic vegetable oil yellow onions beef stew meat Salt black pepper favas cooked rice
9,http://www.edamam.com/ontologies/edamam.owl#recipe_896cef296d2b04530316b81affb07c58,mushrooms mozzarella cheese sausage meat pepperoni pizza dough marinara sauce green pepper bacon
10,http://www.edamam.com/ontologies/edamam.owl#recipe_8d4bc28be65052a1daca3450033ed9e9,Parmesan arugula olive oil Coarse salt ground pepper reduced-sodium chicken broth meat tortellini lemon juice baguette
11,http://www.edamam.com/ontologies/edamam.owl#recipe_c879553de68c4a7a934a7498fec21585,Salt butter bread flour bread flour yeast Salt butter bread flour bread flour yeast
12,http://www.edamam.com/ontologies/edamam.owl#recipe_cb9682173c56e51ceee2278f11355b27,Mayonnaise Tabasco Pepper Sauce lime Mayonnaise Tabasco Pepper Sauce lime
13,http://www.edamam.com/ontologies/edamam.owl#recipe_cbd557240975fb6519580ce83b4c0e3c,garlic crab meat low-fat) mayonnaise yellow bell pepper parsley sole extra-virgin olive oil fresh bread crumbs lemon zest
14,http://www.edamam.com/ontologies/edamam.owl#recipe_d9145859771bef0a65bbc48cc3536dec,mushrooms mozzarella cheese sausage meat pepperoni pizza dough marinara sauce green pepper bacon
15,http://www.edamam.com/ontologies/edamam.owl#recipe_f3376c0d85e6469eab470deb14570ac0,Lasagna Meat tomatoes Lasagna Meat tomatoes
