AppRecipeId,IngredientId
52,1
2052,1
52,2
2052,2
52,3
54,3
2052,3
53,4
53,5
53,6
53,7
53,8
2070,8
53,9
53,10
54,10
55,10
57,10
2053,10
2073,10
2078,10
53,11
53,12
53,13
57,13
2069,13
2073,13
54,14
2063,14
2072,14
54,15
54,16
54,17
56,17
2054,17
2055,17
2056,17
2059,17
2061,17
2062,17
2064,17
2071,17
2076,17
2078,17
54,18
2062,18
2073,18
54,19
54,20
55,21
55,22
55,23
55,24
2053,24
2078,24
55,25
55,26
2073,26
55,27
55,28
56,29
2055,29
2062,29
2068,29
56,30
2054,30
2055,30
2071,30
56,31
2055,31
56,32
2055,32
56,33
2055,33
2067,33
56,34
2055,34
56,35
2055,35
56,36
2055,36
2061,36
57,37
57,38
2060,38
57,39
57,40
57,41
57,42
57,43
58,44
58,45
58,46
2056,46
2062,46
2070,46
58,47
58,48
58,49
58,50
58,51
58,52
1052,1002
1052,1003
2054,1003
2059,1003
1052,1004
2053,1004
1052,1005
2053,2002
2053,2003
2078,2003
2054,2004
2056,2004
2057,2004
2058,2004
2059,2004
2061,2004
2062,2004
2063,2004
2054,2005
2054,2006
2078,2006
2056,2007
2073,2007
2056,2008
2056,2009
2058,2009
2061,2009
2070,2009
2056,2010
2056,2011
2056,2012
2057,2013
2057,2014
2057,2015
2057,2016
2058,2017
2058,2018
2058,2019
2058,2020
2074,2020
2075,2020
2058,2021
2058,2022
2071,2022
2059,2023
2059,2024
2068,2024
2069,2024
2076,2024
2059,2025
2060,2026
2068,2026
2060,2027
2060,2028
2060,2029
2061,2030
2061,2031
2061,2032
2073,2032
2074,2032
2075,2032
2061,2033
2061,2034
2061,2035
2063,2035
2061,2036
2062,2037
2062,2038
2063,2039
2064,2040
2064,2041
2064,2042
2064,2043
2064,2044
2064,2045
2064,2046
2067,2051
2067,2052
2068,2053
2069,2054
2069,2055
2069,2056
2071,2056
2069,2057
2070,2058
2071,2059
2071,2060
2071,2061
2072,2062
2073,2063
2074,2063
2075,2063
2073,2064
2073,2065
2074,2065
2075,2065
2073,2066
2074,2067
2075,2067
2074,2068
2075,2068
2074,2069
2075,2069
2074,2070
2075,2070
2076,2071
2077,2071
2076,2072
2076,2073
2077,2073
2078,2074
2078,2075
2078,2076
